train_dataset,test_dataset,feature_set,n_features,train_bias_level,test_bias_level,train_bias_bucket,test_bias_bucket,accuracy,precision,recall,f1,roc_auc,pr_auc,spd,eod,aaod,di,ppr_priv,ppr_unpriv,tpr_priv,tpr_unpriv,fpr_priv,fpr_unpriv,fairness_penalty
pd_v0_25,pd_v0,C_sem_protegido,29,0.25,0.0,baixo,baixo,0.999893581800123,0.9995668569099062,0.9999745106035889,0.9997706422018349,0.9999967361282307,0.9999909689316733,-0.20188972889114276,0.0,0.0002371200689803837,0.2865680334463158,0.282983856002969,0.08109412711182623,1.0,1.0,0.0004742401379607674,0.0,0.2288897038784518
pd_v0_25,pd_v1,C_sem_protegido,29,0.25,1.0,baixo,alto,0.9834390063403804,0.9239905715247804,0.9999668709623986,0.9604785846114682,0.999875200759034,0.9992320976170662,0.8748283812115896,,0.0001208912100001209,7237.492886544148,0.0001208912100001209,0.8749492724215897,,0.9999668709623986,0.0001208912100001209,0.0,2412.45594527219
pd_v0_25,gs_v0_5,A_com_protegido,11,0.25,0.5,baixo,medio,0.9976737040776017,0.9924297357658729,0.9967954320340267,0.9946077932648286,0.9999316028454495,0.9997798451192201,-0.053491878755066724,-0.0009900173253032385,0.0010741644420875485,0.8218499507293711,0.3002630590003758,0.24677118024530909,1.0,0.9990099826746968,0.0,0.0011583115588718585,0.05842652744827161
pd_v0_25,gs_v0_25,A_com_protegido,11,0.25,0.25,baixo,baixo,0.9965387726437632,0.9896201797622499,0.9943483074054652,0.9919786096256684,0.999870609433407,0.9995835282864474,-0.0788454295612517,0.030594286377344515,0.015792569139774868,0.7480664943175362,0.31296126867947544,0.23411583911822373,0.9690273843248347,0.9996216707021792,0.0,0.0009908519022052216,0.09429144769020871
pd_v0_25,gs_v0_75,A_com_protegido,11,0.25,0.75,baixo,medio,0.9975796489863996,0.9937445446610416,0.9950183534347142,0.9943810411086527,0.9998947975837817,0.9996631729662435,0.22575670096569833,,0.0011024232897127574,,0.0,0.22575670096569833,,0.9987706789364617,0.0,0.0011024232897127574,0.11342956212770554
pd_v0_25,gs_v0,A_com_protegido,11,0.25,0.0,baixo,baixo,0.9942547747480135,0.979263789952635,0.9888897258210304,0.9840532184015741,0.999600510006404,0.9982257657400917,0.06256847770243132,0.006540614936733635,0.007212582997587442,1.3260606902746077,0.1918921218308661,0.2544605995332974,0.992737676056338,0.9992782909930716,0.0,0.007884551058441248,0.10059559147784003
pd_v0_25,gs_v1,A_com_protegido,11,0.25,1.0,baixo,alto,0.9982367489008305,0.994690089821845,0.9938516461721539,0.9942706912373819,0.9998889368102597,0.9994864502702437,,,,,,,,,,,
pd_v0_25,pd_v0_5,A_com_protegido,11,0.25,0.5,baixo,medio,0.9979496074002366,0.9935126719141942,0.9932978769403727,0.9934052628164933,0.999905206617064,0.9995523984946623,0.6767733345129497,0.004740453861619032,0.0025858061202317637,44.783514635863675,0.015457263770199833,0.6922305982831496,0.9885057471264368,0.9932462009880558,0.0,0.00043115837884449555,11.11690355758962
pd_v0_25,pd_v0_75,A_com_protegido,11,0.25,0.75,baixo,medio,0.9986690569317688,0.9967208635059435,0.9965846994535519,0.9966527768290184,0.9999561708307027,0.9998432966961195,0.7096650203229973,-0.0038017031630169784,0.0021894685290956514,18.78979497518019,0.03989169191174499,0.7495567122347423,1.0,0.996198296836983,0.0,0.0005772338951743247,4.626362791798825
pd_v0_25,pd_v0,A_com_protegido,11,0.25,0.0,baixo,baixo,0.9858168188052784,0.943696244007035,0.9984196574225123,0.9702869740769641,0.9995171463225152,0.9983493718739578,-0.24599542556147047,0.0004376846482109231,0.031472606872406154,0.2507520638560111,0.3283231273581988,0.08232770179672834,0.9995623153517891,1.0,0.06384996766544514,0.0013424385688437519,0.25678841330651914
pd_v0_25,pd_v1,A_com_protegido,11,0.25,1.0,baixo,alto,0.9896460454293924,0.955546362884236,0.9948318701341726,0.9747934622064242,0.999110927250781,0.9958816086742961,0.8704079018498164,,4.8356484000048355e-05,18000.81780827874,4.8356484000048355e-05,0.8704562583338165,,0.9948318701341726,4.8356484000048355e-05,0.0,6000.229421512358
pd_v0_25,gs_v0_5,B_com_protegido,22,0.25,0.5,baixo,medio,0.9999561076241057,0.9998834736504792,0.9999126026918371,0.9998980379590112,0.9999971650837864,0.9999923640653716,-0.0541112435507779,-0.0001237521656628493,8.881356094472369e-05,0.8197872101519149,0.3002630590003758,0.2461518154495979,1.0,0.9998762478343372,0.0,5.3874956226598066e-05,0.05863414978136764
pd_v0_25,gs_v0_25,B_com_protegido,22,0.25,0.25,baixo,baixo,0.9999561076241057,0.9998834736504792,0.9999126026918371,0.9998980379590112,0.999997121555637,0.9999922771042313,-0.08944904804548576,0.0,4.608613498628938e-05,0.7230373668166687,0.322964318389753,0.23351527034426722,1.0,1.0,0.0,9.217226997257875e-05,0.09161444184095083
pd_v0_25,gs_v0_75,B_com_protegido,22,0.25,0.75,baixo,medio,0.9999561076241057,0.9998834736504792,0.9999126026918371,0.9998980379590112,0.9999971713685994,0.9999923754104325,0.22518724740384538,,4.083049221158361e-05,,0.0,0.22518724740384538,,0.9998946296231253,0.0,4.083049221158361e-05,0.11261403894802849
pd_v0_25,gs_v0,B_com_protegido,22,0.25,0.0,baixo,baixo,0.9999189862479155,0.9998493295163478,0.9996987044290448,0.999774011299435,0.9999962171074754,0.9999880017868756,0.055620085198370584,0.000660211267605626,0.00037789079173275995,1.2879359090163611,0.19316828313765527,0.24878836833602586,0.9993397887323944,1.0,0.0,9.557031585989391e-05,0.08614852406851753
pd_v0_25,gs_v1,B_com_protegido,22,0.25,1.0,baixo,alto,0.9999618343917929,0.9998016955034456,0.9999504165013884,0.9998760504722477,0.9999937000684684,0.9999786599534757,,,,,,,,,,,
